Mix ID,Cement,SF,Sand,NanoSilica,Quartz Powder,Water,Superplasticizer,Fibers,Fly Ash,Slag,MetaK,Lime Powder,Water/Binder Ratio,Curing Type,Curing Temp,Type of Cement,Superplasticizer Base,Fiber Type,Fiber Length,Fiber Diameter,Specimen Type,Testing Age,Compressive Strength
DS2-UHPC-110,426.3,0,1273.4,13.2,175.9,175.8,43.9,195,0,0,0,263.7,0.412385644,1,21,1,1,1,13,0.2,1,7,100.86
DS2-UHPC-111,421.9,0,1273.4,17.6,175.9,175.8,43.9,195,0,0,0,263.7,0.416686419,1,21,1,1,1,13,0.2,1,7,103.35
DS2-UHPC-112,417.5,0,1273.4,22,175.9,175.8,43.9,195,0,0,0,263.7,0.421077844,1,21,1,1,1,13,0.2,1,7,98.99
DS2-UHPC-113,435.1,0,1273.4,4.4,175.9,175.8,43.9,0,0,0,0,263.7,0.404045047,1,21,1,1,0,0,0,1,28,77.01
DS2-UHPC-114,430.7,0,1273.4,8.8,175.9,175.8,43.9,0,0,0,0,263.7,0.408172742,1,21,1,1,0,0,0,1,28,81.1
DS2-UHPC-115,426.3,0,1273.4,13.2,175.9,175.8,43.9,0,0,0,0,263.7,0.412385644,1,21,1,1,0,0,0,1,28,88.66
DS2-UHPC-116,421.9,0,1273.4,17.6,175.9,175.8,43.9,0,0,0,0,263.7,0.416686419,1,21,1,1,0,0,0,1,28,91.18
DS2-UHPC-117,417.5,0,1273.4,22,175.9,175.8,43.9,0,0,0,0,263.7,0.421077844,1,21,1,1,0,0,0,1,28,86.46
DS2-UHPC-118,439.5,0,1273.4,0,175.9,175.8,43.9,195,0,0,0,263.7,0.4,1,21,1,1,1,13,0.2,1,28,113.93
DS2-UHPC-119,435.1,0,1273.4,4.4,175.9,175.8,43.9,195,0,0,0,263.7,0.404045047,1,21,1,1,1,13,0.2,1,28,120.16
DS2-UHPC-12,810,90,1539,0,0,162,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,56,150
DS2-UHPC-120,430.7,0,1273.4,8.8,175.9,175.8,43.9,195,0,0,0,263.7,0.408172742,1,21,1,1,1,13,0.2,1,28,126.38
DS2-UHPC-121,594.2,0,1282.3,24.8,0,176.9,44.2,0,0,0,0,265.3,0.297711208,1,21,1,1,0,0,0,1,28,98.89
DS2-UHPC-122,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,139.44
DS2-UHPC-123,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,141.67
DS2-UHPC-124,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,129.44
DS2-UHPC-125,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,124.44
DS2-UHPC-126,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,120.56
DS2-UHPC-127,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,129.01
DS2-UHPC-128,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,132.96
DS2-UHPC-129,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,129.58
DS2-UHPC-13,810,90,1539,0,0,162,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,56,150
DS2-UHPC-130,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,28,136.34
DS2-UHPC-131,594.2,0,1282.3,24.8,0,176.9,44.2,0,0,0,0,265.3,0.297711208,1,21,1,1,0,0,0,1,7,86.11
DS2-UHPC-132,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,7,113.89
DS2-UHPC-133,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,7,117.22
DS2-UHPC-134,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,7,114.44
DS2-UHPC-135,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,7,112.22
DS2-UHPC-136,594.2,0,1282.3,24.8,0,176.9,44.2,156,0,0,0,265.3,0.297711208,1,21,1,1,1,13,0.2,1,7,111.11
DS2-UHPC-137,753,188,1129,0,0,180.72,27,0,183,0,0,0,0.19205101,1,20,1,1,0,0,0,1,28,166
DS2-UHPC-138,745,186,1118,0,0,171.35,27,0,181,0,0,0,0.184049409,1,20,1,1,0,0,0,1,28,162
DS2-UHPC-139,778,194,1167,0,0,178.94,28,0,189,0,0,0,0.18409465,1,20,1,1,0,0,0,1,28,181
DS2-UHPC-14,630,90,1539,0,0,162,18,0,0,180,0,0,0.225,1,20,1,1,0,0,0,1,56,141
DS2-UHPC-140,758,190,1138,0,0,166.76,27,0,184,0,0,0,0.175907173,1,20,1,1,0,0,0,1,28,155
DS2-UHPC-141,745,186,1118,0,0,171.35,27,0,181,0,0,0,0.184049409,1,20,1,1,0,0,0,1,28,159
DS2-UHPC-142,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,59
DS2-UHPC-143,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,70.7
DS2-UHPC-144,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,73.2
DS2-UHPC-145,801,89,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,75.7
DS2-UHPC-146,756.5,133.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,70.5
DS2-UHPC-147,712,178,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,62.1
DS2-UHPC-148,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,77.8
DS2-UHPC-149,712,0,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,1,53.7
DS2-UHPC-15,450,90,1539,0,0,162,18,0,0,360,0,0,0.3,1,20,1,1,0,0,0,1,56,133
DS2-UHPC-150,667.5,44.5,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,1,52.8
DS2-UHPC-151,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,72.8
DS2-UHPC-152,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,73.2
DS2-UHPC-153,958.55,50.45,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,1,80.1
DS2-UHPC-154,756.75,50.45,1231,0,0,201.8,34.2,0,201.8,0,0,0,0.25,1,21,1,1,0,0,0,1,1,53.1
DS2-UHPC-155,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,95.7
DS2-UHPC-156,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,97.4
DS2-UHPC-157,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,105.7
DS2-UHPC-158,801,89,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,102.6
DS2-UHPC-159,756.5,133.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,96.8
DS2-UHPC-16,630,90,1539,0,0,126,18,0,0,180,0,0,0.175,1,20,1,1,0,0,0,1,56,159
DS2-UHPC-160,712,178,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,95.9
DS2-UHPC-161,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,106.1
DS2-UHPC-162,712,0,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,7,99.2
DS2-UHPC-163,623,0,1231,0,0,178,30.2,0,267,0,0,0,0.285714286,1,21,1,1,0,0,0,1,7,101.2
DS2-UHPC-164,534,0,1231,0,0,178,30.2,0,356,0,0,0,0.333333333,1,21,1,1,0,0,0,1,7,75.8
DS2-UHPC-165,667.5,44.5,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,7,92.8
DS2-UHPC-166,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,102.8
DS2-UHPC-167,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,102.3
DS2-UHPC-168,958.55,50.45,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,7,102.8
DS2-UHPC-169,756.75,50.45,1231,0,0,201.8,34.2,0,201.8,0,0,0,0.25,1,21,1,1,0,0,0,1,7,101.5
DS2-UHPC-17,630,90,1539,0,0,144,18,0,0,180,0,0,0.2,1,20,1,1,0,0,0,1,56,160
DS2-UHPC-170,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,106.3
DS2-UHPC-171,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,113.2
DS2-UHPC-172,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,117.2
DS2-UHPC-173,801,89,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,118.6
DS2-UHPC-174,756.5,133.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,118
DS2-UHPC-175,712,178,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,111
DS2-UHPC-176,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,116.6
DS2-UHPC-177,712,0,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,28,109.9
DS2-UHPC-178,623,0,1231,0,0,178,30.2,0,267,0,0,0,0.285714286,1,21,1,1,0,0,0,1,28,114.8
DS2-UHPC-179,534,0,1231,0,0,178,30.2,0,356,0,0,0,0.333333333,1,21,1,1,0,0,0,1,28,102.6
DS2-UHPC-18,630,90,1539,0,0,162,18,0,0,180,0,0,0.225,1,20,1,1,0,0,0,1,56,141
DS2-UHPC-180,667.5,44.5,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,28,112.8
DS2-UHPC-181,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,113.8
DS2-UHPC-182,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,115.2
DS2-UHPC-183,958.55,50.45,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,28,115.4
DS2-UHPC-184,756.75,50.45,1231,0,0,201.8,34.2,0,201.8,0,0,0,0.25,1,21,1,1,0,0,0,1,28,114.5
DS2-UHPC-185,1151.11,211.89,1231,0,0,272.6,46.2,0,0,0,0,0,0.2,1,90,1,1,0,0,0,1,28,159.7
DS2-UHPC-186,1151.11,211.89,1231,0,0,272.6,46.2,0,0,0,0,0,0.2,1,90,1,1,0,0,0,1,28,165.8
DS2-UHPC-187,1151.11,211.89,1231,0,0,272.6,46.2,0,0,0,0,0,0.2,1,90,1,1,0,0,0,1,28,163.9
DS2-UHPC-188,1151.11,211.89,1231,0,0,272.6,46.2,234,0,0,0,0,0.2,1,90,1,1,1,13,0.2,1,28,170.6
DS2-UHPC-189,1151.11,211.89,1231,0,0,272.6,46.2,234,0,0,0,0,0.2,1,90,1,1,1,13,0.2,1,28,179
DS2-UHPC-19,630,90,1539,0,0,144,18,0,0,180,0,0,0.2,1,20,1,1,0,0,0,1,56,160
DS2-UHPC-190,1151.11,211.89,1231,0,0,272.6,46.2,234,0,0,0,0,0.2,1,90,1,1,1,13,0.2,1,28,177
DS2-UHPC-191,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,108.8
DS2-UHPC-192,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,113.8
DS2-UHPC-193,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,120.1
DS2-UHPC-194,801,89,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,127.4
DS2-UHPC-195,756.5,133.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,120.1
DS2-UHPC-196,712,178,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,117.2
DS2-UHPC-197,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,124.1
DS2-UHPC-198,712,0,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,56,110.3
DS2-UHPC-199,623,0,1231,0,0,178,30.2,0,267,0,0,0,0.285714286,1,21,1,1,0,0,0,1,56,117.2
DS2-UHPC-2,630,70,1788,0,0,126,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,28,135
DS2-UHPC-20,450,90,1539,0,0,144,18,0,0,180,0,180,0.266666667,1,20,1,1,0,0,0,1,56,161
DS2-UHPC-200,534,0,1231,0,0,178,30.2,0,356,0,0,0,0.333333333,1,21,1,1,0,0,0,1,56,110.9
DS2-UHPC-201,667.5,44.5,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,56,113.8
DS2-UHPC-202,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,126.2
DS2-UHPC-203,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,129.3
DS2-UHPC-204,958.55,50.45,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,56,129
DS2-UHPC-205,756.75,50.45,1231,0,0,201.8,34.2,0,201.8,0,0,0,0.25,1,21,1,1,0,0,0,1,56,131.7
DS2-UHPC-206,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,114.1
DS2-UHPC-207,890,0,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,118.1
DS2-UHPC-208,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,125.4
DS2-UHPC-209,801,89,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,127.6
DS2-UHPC-21,270,90,1539,0,0,144,18,0,0,180,0,360,0.4,1,20,1,1,0,0,0,1,56,139
DS2-UHPC-210,756.5,133.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,120.9
DS2-UHPC-211,712,178,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,118.6
DS2-UHPC-212,845.5,44.5,1231,0,0,178,30.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,126.2
DS2-UHPC-213,712,0,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,90,117.5
DS2-UHPC-214,623,0,1231,0,0,178,30.2,0,267,0,0,0,0.285714286,1,21,1,1,0,0,0,1,90,119.3
DS2-UHPC-215,534,0,1231,0,0,178,30.2,0,356,0,0,0,0.333333333,1,21,1,1,0,0,0,1,90,119.1
DS2-UHPC-216,667.5,44.5,1231,0,0,178,30.2,0,178,0,0,0,0.25,1,21,1,1,0,0,0,1,90,119.7
DS2-UHPC-217,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,139.3
DS2-UHPC-218,1009,0,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,149.7
DS2-UHPC-219,958.55,50.45,1231,0,0,201.8,34.2,0,0,0,0,0,0.2,1,21,1,1,0,0,0,1,90,155.2
DS2-UHPC-22,450,50,1992,0,0,90,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,90,151
DS2-UHPC-220,756.75,50.45,1231,0,0,201.8,34.2,0,201.8,0,0,0,0.25,1,21,1,1,0,0,0,1,90,152.1
DS2-UHPC-221,472,262,1049,0,0,178,21,0,0,315,0,0,0.242506812,1,20,1,1,0,0,0,1,7,94.3
DS2-UHPC-222,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,7,114.9
DS2-UHPC-223,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,7,120.9
DS2-UHPC-224,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,7,108.3
DS2-UHPC-225,472,262,1049,0,0,178,21,0,0,315,0,0,0.242506812,1,20,1,1,0,0,0,1,28,97.8
DS2-UHPC-226,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,28,134.4
DS2-UHPC-227,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,28,143.5
DS2-UHPC-228,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,28,127.4
DS2-UHPC-229,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,28,122.9
DS2-UHPC-23,630,70,1788,0,0,126,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,90,160
DS2-UHPC-230,472,262,1049,0,0,178,21,156,0,315,0,0,0.242506812,1,20,1,1,1,13,0.2,1,28,120.4
DS2-UHPC-231,850,137.5,1100,0,0,176,8,234,112.5,0,0,0,0.178227848,1,23,1,1,1,13,0.2,1,28,162.1
DS2-UHPC-232,850,137.5,1100,0,0,176,8,234,112.5,0,0,0,0.178227848,1,23,1,1,1,13,0.2,1,28,162.8
DS2-UHPC-233,700,50,1104,0,0,180,30,0,150,0,0,0,0.24,1,20,1,1,0,0,0,1,1,57.9
DS2-UHPC-234,700,50,1104,0,0,180,30,39,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,1,64.5
DS2-UHPC-235,700,50,1104,0,0,180,30,78,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,1,73.8
DS2-UHPC-236,700,50,1104,0,0,180,30,117,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,1,83.2
DS2-UHPC-237,700,50,1104,0,0,180,30,156,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,1,88.8
DS2-UHPC-238,700,50,1104,0,0,180,30,195,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,1,89.7
DS2-UHPC-239,700,50,1104,0,0,180,30,0,150,0,0,0,0.24,1,20,1,1,0,0,0,1,7,94.4
DS2-UHPC-24,810,90,1539,0,0,162,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,90,170
DS2-UHPC-240,700,50,1104,0,0,180,30,39,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,7,96.3
DS2-UHPC-241,700,50,1104,0,0,180,30,78,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,7,102.8
DS2-UHPC-242,700,50,1104,0,0,180,30,117,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,7,115.9
DS2-UHPC-243,700,50,1104,0,0,180,30,156,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,7,120.6
DS2-UHPC-244,700,50,1104,0,0,180,30,195,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,7,125.2
DS2-UHPC-245,700,50,1104,0,0,180,30,0,150,0,0,0,0.24,1,20,1,1,0,0,0,1,28,105.6
DS2-UHPC-246,700,50,1104,0,0,180,30,78,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,28,138.3
DS2-UHPC-247,700,50,1104,0,0,180,30,117,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,28,149.5
DS2-UHPC-248,700,50,1104,0,0,180,30,156,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,28,153.3
DS2-UHPC-249,700,50,1104,0,0,180,30,195,150,0,0,0,0.24,1,20,1,1,1,13,0.2,1,28,156.1
DS2-UHPC-25,810,90,1539,0,0,162,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,90,170
DS2-UHPC-250,741,185,815,0,194.25,185,9,156,0,0,0,64.75,0.199784017,1,30,1,1,1,13,0.2,1,1,76
DS2-UHPC-251,741,185,815,0,129.5,185,9,156,0,0,0,129.5,0.199784017,1,30,1,1,1,13,0.2,1,1,78
DS2-UHPC-252,741,185,815,0,64.75,185,9,156,0,0,0,194.25,0.199784017,1,30,1,1,1,13,0.2,1,1,82
DS2-UHPC-253,741,185,815,0,0,185,9,0,0,0,0,259,0.199784017,1,30,1,1,0,0,0,1,1,82
DS2-UHPC-254,741,185,815,0,259,185,9,156,0,0,0,0,0.199784017,1,30,1,1,1,13,0.2,1,3,117
DS2-UHPC-255,741,185,815,0,194.25,185,9,156,0,0,0,64.75,0.199784017,1,30,1,1,1,13,0.2,1,3,118
DS2-UHPC-256,741,185,815,0,129.5,185,9,156,0,0,0,129.5,0.199784017,1,30,1,1,1,13,0.2,1,3,111
DS2-UHPC-257,741,185,815,0,64.75,185,9,156,0,0,0,194.25,0.199784017,1,30,1,1,1,13,0.2,1,3,116
DS2-UHPC-258,741,185,815,0,0,185,9,0,0,0,0,259,0.199784017,1,30,1,1,0,0,0,1,3,115
DS2-UHPC-259,741,185,815,0,259,185,9,156,0,0,0,0,0.199784017,1,30,1,1,1,13,0.2,1,7,144
DS2-UHPC-26,630,90,1539,0,0,162,18,0,0,180,0,0,0.225,1,20,1,1,0,0,0,1,90,169
DS2-UHPC-260,741,185,815,0,194.25,185,9,156,0,0,0,64.75,0.199784017,1,30,1,1,1,13,0.2,1,7,142
DS2-UHPC-261,741,185,815,0,64.75,185,9,156,0,0,0,194.25,0.199784017,1,30,1,1,1,13,0.2,1,7,138
DS2-UHPC-262,741,185,815,0,194.25,185,9,156,0,0,0,64.75,0.199784017,1,30,1,1,1,13,0.2,1,28,159
DS2-UHPC-263,741,185,815,0,129.5,185,9,156,0,0,0,129.5,0.199784017,1,30,1,1,1,13,0.2,1,28,160
DS2-UHPC-264,741,185,815,0,64.75,185,9,156,0,0,0,194.25,0.199784017,1,30,1,1,1,13,0.2,1,28,158
DS2-UHPC-265,741,185,815,0,0,185,9,0,0,0,0,259,0.199784017,1,30,1,1,0,0,0,1,28,155
DS2-UHPC-266,741,185,815,0,259,185,9,156,0,0,0,0,0.199784017,1,30,1,1,1,13,0.2,1,90,165
DS2-UHPC-267,741,185,815,0,194.25,185,9,156,0,0,0,64.75,0.199784017,1,30,1,1,1,13,0.2,1,90,171
DS2-UHPC-268,741,185,815,0,129.5,185,9,156,0,0,0,129.5,0.199784017,1,30,1,1,1,13,0.2,1,90,167
DS2-UHPC-269,741,185,815,0,64.75,185,9,156,0,0,0,194.25,0.199784017,1,30,1,1,1,13,0.2,1,90,168
DS2-UHPC-27,630,90,1539,0,0,126,18,0,0,180,0,0,0.175,1,20,1,1,0,0,0,1,90,168
DS2-UHPC-270,890,222,799,0,0,222,29.7,117,0,0,0,0,0.199640288,1,23,1,1,1,13,0.2,1,28,130.3
DS2-UHPC-271,933,233,1026,0,0,168,37.6,0,0,0,0,0,0.144082333,1,23,1,1,0,0,0,1,28,101.4
DS2-UHPC-272,933,233,1026,0,0,168,37.6,0,0,0,0,0,0.144082333,1,23,1,1,0,0,0,1,28,116.2
DS2-UHPC-273,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,170.4
DS2-UHPC-274,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,184
DS2-UHPC-275,950,234,1030,0,95,215,12.7,234,0,0,0,0,0.181587838,1,23,1,1,1,13,0.2,1,28,158.1
DS2-UHPC-276,950,234,1030,0,95,215,12.7,234,0,0,0,0,0.181587838,1,23,1,1,1,13,0.2,1,28,168.6
DS2-UHPC-277,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,180.8
DS2-UHPC-278,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,192.2
DS2-UHPC-279,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,206.6
DS2-UHPC-28,630,90,1539,0,0,144,18,0,0,180,0,0,0.2,1,20,1,1,0,0,0,1,90,172
DS2-UHPC-280,850,260,850,0,212,170,45,156,0,0,0,0,0.153153153,1,23,1,1,1,13,0.2,1,28,185.2
